Time(s),Theta(rad),theta_dot(rad/s),Phi(rad),phi_dot(rad/s),setpoint(Nm)
0.178,0.797,-0.000,-3.409,-0.000,0.000
0.188,0.796,0.000,-3.409,-0.000,0.000
0.197,0.796,-0.001,-3.409,-0.000,0.000
0.208,0.796,-0.001,-3.409,-0.000,0.000
0.217,0.796,-0.001,-3.409,-0.000,0.000
0.228,0.796,-0.000,-3.409,-0.000,0.000
0.237,0.797,-0.001,-3.409,-0.000,0.000
0.248,0.797,-0.002,-3.409,-0.000,0.000
0.257,0.797,-0.000,-3.409,-0.000,0.000
0.268,0.797,-0.001,-3.409,-0.000,0.000
0.277,0.796,-0.000,-3.409,-0.000,0.000
0.288,0.796,0.000,-3.409,-0.000,0.000
0.297,0.796,0.001,-3.409,-0.000,0.000
0.308,0.796,-0.000,-3.409,-0.000,0.000
0.317,0.796,-0.000,-3.409,-0.000,0.000
0.328,0.796,0.000,-3.409,-0.000,0.000
0.337,0.796,-0.001,-3.409,-0.000,0.000
0.348,0.796,0.000,-3.409,-0.000,0.000
0.357,0.796,-0.001,-3.409,-0.000,0.000
0.368,0.796,0.000,-3.409,-0.000,0.000
0.377,0.796,0.000,-3.409,-0.000,0.000
0.388,0.796,0.001,-3.409,-0.000,0.000
0.397,0.796,0.001,-3.409,-0.000,0.000
0.408,0.796,0.002,-3.409,-0.000,0.000
0.417,0.796,-0.001,-3.409,-0.000,0.000
0.428,0.795,0.000,-3.409,-0.000,0.000
0.437,0.796,-0.000,-3.409,-0.000,0.000
0.448,0.796,-0.000,-3.409,-0.000,0.000
0.457,0.796,0.000,-3.409,-0.000,0.000
0.468,0.796,0.001,-3.409,-0.000,0.000
0.477,0.797,0.001,-3.409,-0.000,0.000
0.488,0.797,0.001,-3.409,-0.000,0.000
0.497,0.797,-0.001,-3.409,-0.000,0.000
0.508,0.796,-0.001,-3.409,-0.000,0.000
0.517,0.796,-0.001,-3.409,-0.000,0.000
0.528,0.796,0.000,-3.409,-0.000,0.000
0.537,0.796,0.000,-3.409,-0.000,0.000
0.548,0.796,-0.002,-3.409,-0.000,0.000
0.557,0.796,-0.000,-3.409,-0.000,0.000
0.568,0.796,-0.000,-3.409,-0.000,0.000
0.577,0.796,-0.001,-3.409,-0.000,0.000
0.588,0.796,-0.001,-3.409,-0.000,0.000
0.597,0.795,0.000,-3.409,-0.000,0.000
0.608,0.795,-0.001,-3.409,-0.000,0.000
0.617,0.796,0.001,-3.409,-0.000,0.000
0.628,0.795,0.000,-3.409,-0.000,0.000
0.637,0.795,-0.001,-3.409,-0.000,0.000
0.648,0.795,0.001,-3.409,-0.000,0.000
0.657,0.796,0.000,-3.409,-0.000,0.000
0.668,0.796,-0.002,-3.409,-0.000,0.000
0.677,0.796,0.001,-3.409,-0.000,0.000
0.688,0.796,-0.002,-3.409,-0.000,0.000
0.697,0.796,-0.001,-3.409,-0.000,0.000
0.721,0.797,-0.001,-3.409,-0.000,0.000
0.732,0.796,-0.001,-3.409,-0.000,0.000
0.741,0.796,-0.002,-3.409,-0.000,0.000
0.752,0.796,-0.001,-3.409,-0.000,0.000
0.761,0.796,-0.001,-3.409,-0.000,0.000
0.772,0.795,0.000,-3.409,-0.000,0.000
0.781,0.795,-0.001,-3.409,-0.000,0.000
0.792,0.795,-0.002,-3.409,-0.000,0.000
0.801,0.795,-0.000,-3.409,-0.000,0.000
0.812,0.795,-0.001,-3.409,-0.000,0.000
0.821,0.795,-0.002,-3.409,-0.000,0.000
0.832,0.795,-0.000,-3.409,-0.000,0.000
0.841,0.795,-0.000,-3.409,-0.000,0.000
0.852,0.795,-0.000,-3.409,-0.000,0.000
0.861,0.795,0.000,-3.409,-0.000,0.000
0.872,0.796,0.000,-3.409,-0.000,0.000
0.881,0.796,0.002,-3.409,-0.000,0.000
0.892,0.795,-0.001,-3.409,-0.000,0.000
0.901,0.796,-0.001,-3.409,-0.000,0.000
0.912,0.796,-0.001,-3.409,-0.000,0.000
0.921,0.796,-0.000,-3.409,-0.000,0.000
0.932,0.796,-0.002,-3.409,-0.000,0.000
0.941,0.797,-0.000,-3.409,-0.000,0.000
0.952,0.796,-0.000,-3.409,-0.000,0.000
0.961,0.797,-0.000,-3.409,-0.000,0.000
0.972,0.796,-0.000,-3.409,-0.000,0.000
0.981,0.796,0.000,-3.409,-0.000,0.000
0.992,0.796,-0.001,-3.409,-0.000,0.000
1.001,0.796,-0.001,-3.409,-0.000,0.000
1.012,0.796,-0.001,-3.409,-0.000,0.000
1.021,0.795,-0.000,-3.409,-0.000,0.000
1.032,0.796,-0.001,-3.409,-0.000,0.000
1.041,0.796,-0.001,-3.409,-0.000,0.000
1.052,0.797,0.000,-3.409,-0.000,0.000
1.061,0.796,-0.001,-3.409,-0.000,0.000
1.072,0.796,-0.001,-3.409,-0.000,0.000
1.081,0.796,0.000,-3.409,-0.000,0.000
1.092,0.796,0.000,-3.409,-0.000,0.000
1.101,0.796,0.000,-3.409,-0.000,0.000
1.112,0.796,-0.000,-3.409,-0.000,0.000
1.121,0.796,-0.001,-3.409,-0.000,0.000
1.132,0.795,-0.001,-3.409,-0.000,0.000
1.141,0.796,-0.001,-3.409,-0.000,0.000
1.152,0.796,-0.001,-3.409,-0.000,0.000
1.161,0.796,0.001,-3.409,-0.000,0.000
1.172,0.796,-0.001,-3.409,-0.000,0.000
1.181,0.796,0.001,-3.409,-0.000,0.000
1.192,0.796,-0.000,-3.409,-0.000,0.000
1.201,0.796,0.002,-3.409,-0.000,0.000
1.212,0.796,-0.001,-3.409,-0.000,0.000
1.221,0.796,0.001,-3.409,-0.000,0.000
1.232,0.796,-0.001,-3.409,-0.000,0.000
1.241,0.796,0.002,-3.409,-0.000,0.000
1.300,0.795,-0.000,-3.409,-0.000,0.000
1.309,0.796,0.001,-3.409,-0.000,0.000
1.320,0.796,-0.001,-3.409,-0.000,0.000
1.329,0.795,-0.000,-3.409,-0.000,0.000
1.340,0.796,0.000,-3.409,-0.000,0.000
1.349,0.796,-0.000,-3.409,-0.000,0.000
1.360,0.796,-0.000,-3.409,-0.000,0.000
1.369,0.796,-0.000,-3.409,-0.000,0.000
1.380,0.796,-0.000,-3.409,-0.000,0.000
1.389,0.796,-0.000,-3.409,-0.000,0.000
1.400,0.796,-0.001,-3.409,-0.000,0.000
1.409,0.796,-0.001,-3.409,-0.000,0.000
1.420,0.796,0.001,-3.409,-0.000,0.000
1.429,0.796,-0.002,-3.409,-0.000,0.000
1.440,0.796,-0.001,-3.409,-0.000,0.000
1.449,0.796,-0.000,-3.409,-0.000,0.000
1.460,0.795,0.001,-3.409,-0.000,0.000
1.469,0.796,-0.000,-3.409,-0.000,0.000
1.480,0.796,-0.000,-3.409,-0.000,0.000
1.489,0.796,0.000,-3.409,-0.000,0.000
1.500,0.796,-0.000,-3.409,-0.000,0.000
1.509,0.796,-0.000,-3.409,-0.000,0.000
1.520,0.796,-0.001,-3.409,-0.000,0.000
1.529,0.796,0.000,-3.409,-0.000,0.000
1.540,0.796,-0.001,-3.409,-0.000,0.000
1.549,0.796,-0.000,-3.409,-0.000,0.000
1.560,0.796,-0.000,-3.409,-0.000,0.000
1.569,0.795,-0.001,-3.409,-0.000,0.000
1.580,0.795,-0.002,-3.409,-0.000,0.000
1.589,0.796,-0.001,-3.409,-0.000,0.000
1.600,0.796,-0.002,-3.409,-0.000,0.000
1.609,0.796,-0.001,-3.409,-0.000,0.000
1.620,0.796,-0.001,-3.409,-0.000,0.000
1.629,0.796,0.000,-3.409,-0.000,0.000
1.640,0.796,0.000,-3.409,-0.000,0.000
1.649,0.796,-0.001,-3.409,-0.000,0.000
1.660,0.796,-0.001,-3.409,-0.000,0.000
1.669,0.795,-0.000,-3.409,-0.000,0.000
1.680,0.796,-0.001,-3.409,-0.000,0.000
1.689,0.796,-0.001,-3.409,-0.000,0.000
1.700,0.796,0.001,-3.409,-0.000,0.000
1.709,0.796,-0.000,-3.409,-0.000,0.000
1.720,0.796,-0.001,-3.409,-0.000,0.000
1.729,0.796,0.001,-3.409,-0.000,0.000
1.740,0.796,-0.000,-3.409,-0.000,0.000
1.749,0.796,-0.002,-3.409,-0.000,0.000
1.760,0.796,0.001,-3.409,-0.000,0.000
1.769,0.796,-0.000,-3.409,-0.000,0.000
1.780,0.795,-0.002,-3.409,-0.000,0.000
1.789,0.796,-0.001,-3.409,-0.000,0.000
1.800,0.796,-0.000,-3.409,-0.000,0.000
1.809,0.796,-0.002,-3.409,-0.000,0.000
1.820,0.796,-0.001,-3.409,-0.000,0.000
1.844,0.796,-0.001,-3.409,-0.000,0.000
1.854,0.796,-0.001,-3.409,-0.000,0.000
1.864,0.796,-0.001,-3.409,-0.000,0.000
1.874,0.795,0.000,-3.409,-0.000,0.000
1.884,0.795,-0.000,-3.409,-0.000,0.000
1.894,0.796,-0.001,-3.409,-0.000,0.000
1.904,0.796,-0.000,-3.409,-0.000,0.000
1.914,0.795,-0.000,-3.409,-0.000,0.000
1.924,0.796,-0.001,-3.409,-0.000,0.000
1.934,0.795,0.001,-3.409,-0.000,0.000
1.944,0.795,0.001,-3.409,-0.000,0.000
1.954,0.796,-0.001,-3.409,-0.000,0.000
1.964,0.796,-0.001,-3.409,-0.000,0.000
1.974,0.796,-0.000,-3.409,-0.000,0.000
1.984,0.797,-0.000,-3.409,-0.000,0.000
1.994,0.796,-0.001,-3.409,-0.000,0.000
2.004,0.796,0.000,-3.409,-0.000,0.000
2.014,0.796,-0.000,-3.409,-0.000,0.000
2.024,0.796,-0.001,-3.409,-0.000,0.000
2.034,0.796,-0.001,-3.409,-0.000,0.000
2.044,0.795,-0.001,-3.409,-0.000,0.000
2.054,0.795,0.000,-3.409,-0.000,0.000
2.064,0.795,-0.001,-3.409,-0.000,0.000
2.074,0.795,-0.000,-3.409,-0.000,0.000
2.084,0.795,0.001,-3.409,-0.000,0.000
2.094,0.796,0.000,-3.409,-0.000,0.000
2.104,0.796,-0.000,-3.409,-0.000,0.000
2.114,0.796,-0.000,-3.409,-0.000,0.000
2.124,0.795,-0.002,-3.409,-0.000,0.000
2.134,0.796,-0.000,-3.409,-0.000,0.000
2.144,0.796,-0.001,-3.409,-0.000,0.000
2.154,0.795,0.000,-3.409,-0.000,0.000
2.164,0.795,0.001,-3.409,-0.000,0.000
2.174,0.795,-0.000,-3.409,-0.000,0.000
2.184,0.795,0.000,-3.409,-0.000,0.000
2.194,0.796,-0.000,-3.409,-0.000,0.000
2.204,0.795,0.001,-3.409,-0.000,0.000
2.214,0.796,-0.001,-3.409,-0.000,0.000
2.224,0.796,0.001,-3.409,-0.000,0.000
2.234,0.796,0.000,-3.409,-0.000,0.000
2.244,0.796,0.001,-3.409,-0.000,0.000
2.254,0.796,-0.001,-3.409,-0.000,0.000
2.264,0.796,-0.000,-3.409,-0.000,0.000
2.274,0.797,-0.001,-3.409,-0.000,0.000
2.284,0.796,0.000,-3.409,-0.000,0.000
2.294,0.796,-0.000,-3.409,-0.000,0.000
2.304,0.796,0.000,-3.409,-0.000,0.000
2.314,0.796,-0.001,-3.409,-0.000,0.000
2.324,0.796,-0.001,-3.409,-0.000,0.000
2.334,0.796,-0.001,-3.409,-0.000,0.000
2.344,0.796,0.000,-3.409,-0.000,0.000
2.354,0.796,-0.000,-3.409,-0.000,0.000
2.389,0.796,0.000,-3.409,-0.000,0.000
2.400,0.795,0.000,-3.409,-0.000,0.000
2.409,0.795,0.000,-3.409,-0.000,0.000
2.420,0.795,0.001,-3.409,-0.000,0.000
2.429,0.796,-0.000,-3.409,-0.000,0.000
2.440,0.796,-0.001,-3.409,-0.000,0.000
2.449,0.796,-0.001,-3.409,-0.000,0.000
2.460,0.795,0.001,-3.409,-0.000,0.000
2.469,0.796,-0.000,-3.409,-0.000,0.000
2.480,0.796,-0.000,-3.409,-0.000,0.000
2.489,0.796,-0.000,-3.409,-0.000,0.000
2.500,0.796,-0.000,-3.409,-0.000,0.000
2.509,0.796,0.001,-3.409,-0.000,0.000
2.520,0.796,-0.002,-3.409,-0.000,0.000
2.529,0.796,-0.002,-3.409,-0.000,0.000
2.540,0.796,0.000,-3.409,-0.000,0.000
2.549,0.796,-0.001,-3.409,-0.000,0.000
2.560,0.796,0.000,-3.409,-0.000,0.000
2.569,0.796,0.000,-3.409,-0.000,0.000
2.580,0.796,-0.000,-3.409,-0.000,0.000
2.589,0.796,0.001,-3.409,-0.000,0.000
2.600,0.796,-0.002,-3.409,-0.000,0.000
2.609,0.796,0.000,-3.409,-0.000,0.000
2.620,0.796,0.000,-3.409,-0.000,0.000
2.629,0.796,-0.000,-3.409,-0.000,0.000
2.640,0.796,0.000,-3.409,-0.000,0.000
2.649,0.796,0.000,-3.409,-0.000,0.000
2.660,0.796,-0.001,-3.409,-0.000,0.000
2.669,0.795,-0.000,-3.409,-0.000,0.000
2.680,0.795,-0.001,-3.409,-0.000,0.000
2.689,0.795,-0.001,-3.409,-0.000,0.000
2.700,0.796,-0.001,-3.409,-0.000,0.000
2.709,0.796,-0.000,-3.409,-0.000,0.000
2.720,0.797,0.001,-3.409,-0.000,0.000
2.729,0.797,-0.000,-3.409,-0.000,0.000
2.740,0.796,-0.001,-3.409,-0.000,0.000
2.749,0.796,0.001,-3.409,-0.000,0.000
2.760,0.796,-0.001,-3.409,-0.000,0.000
2.769,0.796,0.001,-3.409,-0.000,0.000
2.780,0.796,-0.001,-3.409,-0.000,0.000
2.789,0.796,-0.001,-3.409,-0.000,0.000
2.800,0.796,0.000,-3.409,-0.000,0.000
2.809,0.796,0.002,-3.409,-0.000,0.000
2.820,0.795,-0.001,-3.409,-0.000,0.000
2.829,0.795,0.002,-3.409,-0.000,0.000
2.840,0.795,-0.001,-3.409,-0.000,0.000
2.849,0.796,-0.000,-3.409,-0.000,0.000
2.860,0.796,-0.001,-3.409,-0.000,0.000
2.869,0.795,-0.000,-3.409,-0.000,0.000
2.880,0.796,-0.001,-3.409,-0.000,0.000
2.889,0.796,-0.000,-3.409,-0.000,0.000
2.900,0.796,0.000,-3.409,-0.000,0.000
2.909,0.796,-0.001,-3.409,-0.000,0.000
2.933,0.796,-0.001,-3.409,-0.000,0.000
2.944,0.795,-0.001,-3.409,-0.000,0.000
2.953,0.796,-0.001,-3.409,-0.000,0.000
2.964,0.796,-0.001,-3.409,-0.000,0.000
2.973,0.796,-0.002,-3.409,-0.000,0.000
2.984,0.796,0.001,-3.409,-0.000,0.000
2.993,0.795,-0.001,-3.409,-0.000,0.000
3.004,0.796,-0.002,-3.409,-0.000,0.000
3.013,0.796,-0.001,-3.409,-0.000,0.000
3.024,0.796,-0.002,-3.409,-0.000,0.000
3.033,0.797,-0.001,-3.409,-0.000,0.000
3.044,0.796,-0.000,-3.409,-0.000,0.000
3.053,0.797,-0.001,-3.409,-0.000,0.000
3.064,0.796,0.001,-3.409,-0.000,0.000
3.073,0.796,-0.001,-3.409,-0.000,0.000
3.084,0.797,0.000,-3.409,-0.000,0.000
3.093,0.796,-0.000,-3.409,-0.000,0.000
3.104,0.796,-0.002,-3.409,-0.000,0.000
3.113,0.796,-0.001,-3.409,-0.000,0.000
3.124,0.797,-0.001,-3.409,-0.000,0.000
3.133,0.796,0.000,-3.409,-0.000,0.000
3.144,0.796,-0.000,-3.409,-0.000,0.000
3.153,0.796,-0.001,-3.409,-0.000,0.000
3.164,0.796,-0.001,-3.409,-0.000,0.000
3.173,0.796,-0.000,-3.409,-0.000,0.000
3.184,0.796,0.000,-3.409,-0.000,0.000
3.193,0.796,-0.000,-3.409,-0.000,0.000
3.204,0.796,-0.001,-3.409,-0.000,0.000
3.213,0.796,-0.002,-3.409,-0.000,0.000
3.224,0.796,-0.000,-3.409,-0.000,0.000
3.233,0.796,0.000,-3.409,-0.000,0.000
3.244,0.796,-0.000,-3.409,-0.000,0.000
3.253,0.795,-0.000,-3.409,-0.000,0.000
3.264,0.796,0.000,-3.409,-0.000,0.000
3.273,0.796,-0.000,-3.409,-0.000,0.000
3.284,0.796,-0.000,-3.409,-0.000,0.000
3.293,0.796,0.000,-3.409,-0.000,0.000
3.304,0.797,-0.002,-3.409,-0.000,0.000
3.313,0.797,0.000,-3.409,-0.000,0.000
3.324,0.796,0.001,-3.409,-0.000,0.000
3.333,0.797,0.001,-3.409,-0.000,0.000
3.344,0.796,-0.000,-3.409,-0.000,0.000
3.353,0.796,-0.001,-3.409,-0.000,0.000
3.364,0.796,-0.000,-3.409,-0.000,0.000
3.373,0.796,0.001,-3.409,-0.000,0.000
3.384,0.796,0.001,-3.409,-0.000,0.000
3.393,0.796,-0.001,-3.409,-0.000,0.000
3.404,0.796,-0.001,-3.409,-0.000,0.000
3.413,0.796,-0.002,-3.409,-0.000,0.000
3.424,0.796,-0.001,-3.409,-0.000,0.000
3.433,0.796,-0.000,-3.409,-0.000,0.000
3.444,0.796,-0.001,-3.409,-0.000,0.000
3.453,0.795,-0.001,-3.409,-0.000,0.000
3.488,0.796,-0.000,-3.409,-0.000,0.000
3.497,0.796,0.000,-3.409,-0.000,0.000
3.508,0.796,-0.001,-3.409,-0.000,0.000
3.517,0.796,0.000,-3.409,-0.000,0.000
3.528,0.795,0.000,-3.409,-0.000,0.000
3.537,0.796,-0.000,-3.409,-0.000,0.000
3.548,0.795,0.001,-3.409,-0.000,0.000
3.557,0.795,0.001,-3.409,-0.000,0.000
3.568,0.795,0.001,-3.409,-0.000,0.000
3.577,0.796,0.000,-3.409,-0.000,0.000
3.588,0.796,0.002,-3.409,-0.000,0.000
3.597,0.797,0.002,-3.409,-0.000,0.000
3.608,0.797,0.001,-3.409,-0.000,0.000
3.617,0.797,0.002,-3.409,-0.000,0.000
3.628,0.797,-0.001,-3.409,-0.000,0.000
3.637,0.797,0.000,-3.409,-0.000,0.000
3.648,0.797,0.000,-3.409,-0.000,0.000
3.657,0.797,0.001,-3.409,-0.000,0.000
3.668,0.797,0.001,-3.409,-0.000,0.000
3.677,0.796,0.000,-3.409,-0.000,0.000
3.688,0.796,0.000,-3.409,-0.000,0.000
3.697,0.796,-0.001,-3.409,-0.000,0.000
3.708,0.796,0.000,-3.409,-0.000,0.000
3.717,0.796,-0.001,-3.409,-0.000,0.000
3.728,0.795,-0.001,-3.409,-0.000,0.000
3.737,0.796,-0.001,-3.409,-0.000,0.000
3.748,0.796,-0.000,-3.409,-0.000,0.000
3.757,0.796,-0.000,-3.409,-0.000,0.000
3.768,0.796,-0.000,-3.409,-0.000,0.000
3.777,0.796,-0.002,-3.409,-0.000,0.000
3.788,0.796,0.001,-3.409,-0.000,0.000
3.797,0.796,-0.001,-3.409,-0.000,0.000
3.808,0.795,-0.000,-3.409,-0.000,0.000
3.817,0.795,-0.000,-3.409,-0.000,0.000
3.828,0.796,-0.000,-3.409,-0.000,0.000
3.837,0.796,-0.001,-3.409,-0.000,0.000
3.848,0.796,-0.001,-3.409,-0.000,0.000
3.857,0.796,-0.000,-3.409,-0.000,0.000
3.868,0.796,0.000,-3.409,-0.000,0.000
3.877,0.796,0.001,-3.409,-0.000,0.000
3.888,0.796,0.001,-3.409,-0.000,0.000
3.897,0.796,-0.000,-3.409,-0.000,0.000
3.908,0.796,-0.000,-3.409,-0.000,0.000
3.917,0.796,-0.001,-3.409,-0.000,0.000
3.928,0.796,-0.000,-3.409,-0.000,0.000
3.937,0.795,-0.001,-3.409,-0.000,0.000
3.948,0.795,-0.001,-3.409,-0.000,0.000
3.957,0.796,-0.001,-3.409,-0.000,0.000
3.968,0.796,-0.001,-3.409,-0.000,0.000
3.977,0.797,-0.001,-3.409,-0.000,0.000
3.988,0.797,-0.002,-3.409,-0.000,0.000
3.997,0.797,-0.000,-3.409,-0.000,0.000
4.008,0.796,-0.000,-3.409,-0.000,0.000
4.032,0.796,0.001,-3.409,-0.000,0.000
4.042,0.795,0.000,-3.409,-0.000,0.000
4.052,0.796,-0.001,-3.409,-0.000,0.000
4.062,0.796,-0.001,-3.409,-0.000,0.000
4.072,0.796,-0.001,-3.409,-0.000,0.000
4.082,0.796,-0.000,-3.409,-0.000,0.000
4.092,0.797,-0.001,-3.409,-0.000,0.000
4.102,0.796,-0.000,-3.409,-0.000,0.000
4.112,0.796,-0.002,-3.409,-0.000,0.000
4.122,0.796,-0.001,-3.409,-0.000,0.000
4.132,0.796,-0.001,-3.409,-0.000,0.000
4.142,0.795,-0.001,-3.409,-0.000,0.000
4.152,0.796,-0.000,-3.409,-0.000,0.000
4.162,0.796,-0.001,-3.409,-0.000,0.000
4.172,0.796,-0.000,-3.409,-0.000,0.000
4.182,0.797,-0.000,-3.409,-0.000,0.000
4.192,0.797,0.001,-3.409,-0.000,0.000
4.202,0.796,0.001,-3.409,-0.000,0.000
4.212,0.796,-0.000,-3.409,-0.000,0.000
4.222,0.797,-0.000,-3.409,-0.000,0.000
4.232,0.796,-0.001,-3.409,-0.000,0.000
4.242,0.796,-0.000,-3.409,-0.000,0.000
4.252,0.796,-0.002,-3.409,-0.000,0.000
4.262,0.796,0.000,-3.409,-0.000,0.000
4.272,0.797,-0.001,-3.409,-0.000,0.000
4.282,0.797,0.001,-3.409,-0.000,0.000
4.292,0.796,-0.000,-3.409,-0.000,0.000
4.302,0.796,-0.002,-3.409,-0.000,0.000
4.312,0.796,-0.000,-3.409,-0.000,0.000
4.322,0.796,0.000,-3.409,-0.000,0.000
4.332,0.796,-0.001,-3.409,-0.000,0.000
4.342,0.796,-0.001,-3.409,-0.000,0.000
4.352,0.796,-0.001,-3.409,-0.000,0.000
4.362,0.796,-0.001,-3.409,-0.000,0.000
4.372,0.795,-0.004,-3.409,-0.000,0.000
4.382,0.794,0.005,-3.409,-0.000,0.000
4.392,0.796,-0.004,-3.409,-0.000,0.000
4.402,0.794,0.002,-3.409,-0.000,0.000
4.412,0.797,-0.001,-3.409,-0.000,0.000
4.422,0.795,-0.001,-3.409,-0.000,0.000
4.432,0.795,-0.001,-3.409,-0.000,0.000
4.442,0.795,0.001,-3.409,-0.000,0.000
4.452,0.795,-0.003,-3.409,-0.000,0.000
4.462,0.795,0.002,-3.409,-0.000,0.000
4.472,0.795,-0.000,-3.409,-0.000,0.000
4.482,0.794,-0.001,-3.409,-0.000,0.000
4.492,0.794,0.000,-3.409,-0.000,0.000
4.502,0.796,0.001,-3.409,-0.000,0.000
4.512,0.796,-0.000,-3.409,-0.000,0.000
4.522,0.796,0.001,-3.409,-0.000,0.000
4.532,0.795,0.001,-3.409,-0.000,0.000
4.542,0.795,0.000,-3.409,-0.000,0.000
4.564,0.796,-0.000,-3.409,-0.000,0.000
4.574,0.796,0.001,-3.409,-0.000,0.000
4.584,0.796,0.000,-3.409,-0.000,0.000
4.594,0.796,-0.002,-3.409,-0.000,0.000
4.604,0.798,-0.003,-3.409,-0.000,0.000
4.614,0.797,0.002,-3.409,-0.000,0.000
4.624,0.797,0.000,-3.409,-0.000,0.000
4.634,0.796,-0.000,-3.409,-0.000,0.000
4.644,0.797,-0.001,-3.409,-0.000,0.000
4.654,0.797,0.001,-3.409,-0.000,0.000
4.664,0.796,-0.001,-3.409,-0.000,0.000
4.674,0.796,0.000,-3.409,-0.000,0.000
4.684,0.796,0.001,-3.409,-0.000,0.000
4.694,0.797,-0.000,-3.409,-0.000,0.000
4.704,0.796,0.001,-3.409,-0.000,0.000
4.714,0.796,-0.001,-3.409,-0.000,0.000
4.724,0.796,0.001,-3.409,-0.000,0.000
4.734,0.796,0.000,-3.409,-0.000,0.000
4.744,0.797,-0.000,-3.409,-0.000,0.000
4.754,0.796,-0.000,-3.409,-0.000,0.000
4.764,0.796,0.001,-3.409,-0.000,0.000
4.774,0.796,0.001,-3.409,-0.000,0.000
4.784,0.796,-0.001,-3.409,-0.000,0.000
4.794,0.796,-0.002,-3.409,-0.000,0.000
4.804,0.796,0.000,-3.409,-0.000,0.000
4.814,0.795,-0.000,-3.409,-0.000,0.000
4.824,0.795,-0.001,-3.409,-0.000,0.000
4.834,0.795,-0.000,-3.409,-0.000,0.000
4.844,0.796,0.001,-3.409,-0.000,0.000
4.854,0.796,-0.002,-3.409,-0.000,0.000
4.864,0.796,0.001,-3.409,-0.000,0.000
4.874,0.796,0.001,-3.409,-0.000,0.000
4.884,0.796,0.000,-3.409,-0.000,0.000
4.894,0.796,-0.000,-3.409,-0.000,0.000
4.904,0.796,-0.000,-3.409,-0.000,0.000
4.914,0.796,-0.000,-3.409,-0.000,0.000
4.924,0.797,0.001,-3.409,-0.000,0.000
4.934,0.796,0.000,-3.409,-0.000,0.000
4.944,0.796,0.000,-3.409,-0.000,0.000
4.954,0.796,-0.001,-3.409,-0.000,0.000
4.964,0.796,-0.001,-3.409,-0.000,0.000
4.974,0.796,-0.001,-3.409,-0.000,0.000
4.984,0.797,0.000,-3.409,-0.000,0.000
4.994,0.797,-0.000,-3.409,-0.000,0.000
5.004,0.796,-0.002,-3.409,-0.000,0.000
5.014,0.797,-0.002,-3.409,-0.000,0.000
5.024,0.796,-0.000,-3.409,-0.000,0.000
5.034,0.796,-0.001,-3.409,-0.000,0.000
5.044,0.796,-0.001,-3.409,-0.000,0.000
5.054,0.796,-0.001,-3.409,-0.000,0.000
5.064,0.796,0.000,-3.409,-0.000,0.000
5.074,0.796,-0.000,-3.409,-0.000,0.000
5.084,0.796,-0.001,-3.409,-0.000,0.000
5.120,0.796,0.000,-3.409,-0.000,0.000
5.129,0.796,-0.001,-3.409,-0.000,0.000
5.140,0.796,-0.001,-3.409,-0.000,0.000
5.149,0.796,0.000,-3.409,-0.000,0.000
5.160,0.796,0.000,-3.409,-0.000,0.000
5.169,0.796,-0.000,-3.409,-0.000,0.000
5.180,0.796,-0.000,-3.409,-0.000,0.000
5.189,0.796,0.000,-3.409,-0.000,0.000
5.200,0.796,-0.000,-3.409,-0.000,0.000
5.209,0.796,0.001,-3.409,-0.000,0.000
5.220,0.796,-0.001,-3.409,-0.000,0.000
5.229,0.795,-0.002,-3.409,-0.000,0.000
5.240,0.796,-0.001,-3.409,-0.000,0.000
5.249,0.795,-0.000,-3.409,-0.000,0.000
5.260,0.797,-0.001,-3.409,-0.000,0.000
5.269,0.795,-0.002,-3.409,-0.000,0.000
5.280,0.796,0.001,-3.409,-0.000,0.000
5.289,0.795,0.000,-3.409,-0.000,0.000
5.300,0.796,-0.001,-3.409,-0.000,0.000
5.309,0.795,-0.001,-3.409,-0.000,0.000
5.320,0.796,0.001,-3.409,-0.000,0.000
5.329,0.796,-0.001,-3.409,-0.000,0.000
5.340,0.796,0.001,-3.409,-0.000,0.000
5.349,0.796,0.001,-3.409,-0.000,0.000
5.360,0.796,0.000,-3.409,-0.000,0.000
5.369,0.796,0.001,-3.409,-0.000,0.000
5.380,0.796,-0.001,-3.409,-0.000,0.000
5.389,0.796,-0.001,-3.409,-0.000,0.000
5.400,0.796,-0.001,-3.409,-0.000,0.000
5.409,0.796,0.001,-3.409,-0.000,0.000
5.420,0.796,-0.001,-3.409,-0.000,0.000
5.429,0.796,-0.000,-3.409,-0.000,0.000
5.440,0.796,0.000,-3.409,-0.000,0.000
5.449,0.797,0.000,-3.409,-0.000,0.000
5.460,0.796,-0.001,-3.409,-0.000,0.000
5.469,0.796,-0.000,-3.409,-0.000,0.000
5.480,0.796,-0.001,-3.409,-0.000,0.000
5.489,0.796,-0.000,-3.409,-0.000,0.000
5.500,0.796,-0.002,-3.409,-0.000,0.000
5.509,0.795,-0.001,-3.409,-0.000,0.000
5.520,0.796,-0.002,-3.409,-0.000,0.000
5.529,0.796,-0.001,-3.409,-0.000,0.000
5.540,0.797,-0.000,-3.409,-0.000,0.000
5.549,0.796,-0.002,-3.409,-0.000,0.000
5.560,0.796,-0.001,-3.409,-0.000,0.000
5.569,0.796,0.001,-3.409,-0.000,0.000
5.580,0.796,0.000,-3.409,-0.000,0.000
5.589,0.796,-0.001,-3.409,-0.000,0.000
