Time(s),Theta(rad),theta_dot(rad/s),Phi(rad),phi_dot(rad/s),setpoint(A)
13.511,-0.015,0.086,-3.123,-13.466,-0.071
13.521,-0.013,0.102,-3.266,-14.007,-0.068
13.531,-0.012,0.104,-3.415,-14.581,-0.048
13.541,-0.009,0.102,-3.564,-14.817,-0.059
13.551,-0.007,0.081,-3.713,-14.848,-0.067
13.561,-0.005,0.090,-3.862,-14.931,-0.044
13.571,-0.000,0.056,-4.012,-14.946,-0.048
13.581,-0.000,0.056,-4.157,-14.672,-0.089
13.591,-0.000,0.056,-4.306,-14.776,-0.064
13.601,0.000,0.060,-4.455,-14.930,-0.070
13.611,-0.001,0.069,-4.608,-15.144,-0.054
13.621,-0.000,0.074,-4.763,-15.411,-0.031
13.631,0.001,0.074,-4.922,-15.722,-0.052
13.641,0.002,0.067,-5.080,-15.768,-0.048
13.651,0.006,0.047,-5.236,-15.668,-0.051
13.661,0.005,0.051,-5.390,-15.449,-0.076
13.671,0.003,0.055,-5.543,-15.393,-0.048
13.681,0.001,0.081,-5.701,-15.647,-0.044
13.691,0.003,0.089,-5.861,-15.851,-0.017
13.701,0.003,0.078,-6.024,-16.175,-0.020
13.711,0.004,0.093,-6.186,-16.174,-0.019
13.806,0.020,-0.005,-7.627,-15.495,-0.027
13.816,0.020,-0.001,-7.781,-15.417,-0.067
13.826,0.020,-0.013,-7.933,-15.315,-0.060
13.836,0.021,-0.039,-8.088,-15.408,-0.083
13.846,0.017,-0.015,-8.239,-15.209,-0.118
13.856,0.012,0.007,-8.394,-15.371,-0.096
13.866,0.012,0.023,-8.552,-15.708,-0.091
13.876,0.011,0.019,-8.715,-16.052,-0.071
13.886,0.009,0.043,-8.879,-16.317,-0.085
13.896,0.008,0.061,-9.048,-16.714,-0.059
13.906,0.009,0.055,-9.225,-17.332,-0.040
13.916,0.011,0.050,-9.403,-17.691,-0.049
13.926,0.011,0.056,-9.582,-17.788,-0.054
13.936,0.013,0.047,-9.763,-17.995,-0.041
13.946,0.014,0.053,-9.941,-17.914,-0.047
13.956,0.016,0.040,-10.119,-17.834,-0.031
13.966,0.016,0.040,-10.292,-17.474,-0.045
13.976,0.016,0.037,-10.463,-17.226,-0.039
13.986,0.017,0.041,-10.635,-17.172,-0.039
13.996,0.018,0.039,-10.805,-17.074,-0.028
14.006,0.017,0.034,-10.973,-16.916,-0.026
14.016,0.016,0.051,-11.142,-16.886,-0.036
14.026,0.016,0.059,-11.312,-16.954,-0.012
14.036,0.018,0.057,-11.481,-16.903,-0.002
14.046,0.018,0.053,-11.647,-16.730,0.007
14.056,0.018,0.062,-11.809,-16.391,0.004
14.066,0.021,0.047,-11.970,-16.199,0.022
14.076,0.023,0.033,-12.129,-15.961,0.014
14.086,0.023,0.025,-12.284,-15.649,0.004
14.096,0.022,0.046,-12.436,-15.341,-0.005
14.106,0.025,0.018,-12.589,-15.338,0.027
14.116,0.026,0.013,-12.740,-15.193,-0.004
14.126,0.026,-0.004,-12.888,-14.907,-0.004
14.136,0.025,0.015,-13.028,-14.325,-0.029
14.146,0.026,-0.013,-13.169,-14.155,0.003
14.156,0.025,-0.009,-13.307,-13.948,-0.036
14.166,0.022,-0.007,-13.441,-13.571,-0.031
14.176,0.020,0.028,-13.575,-13.446,-0.038
14.186,0.022,0.007,-13.712,-13.608,0.008
14.196,0.023,0.015,-13.846,-13.512,-0.018
14.206,0.023,-0.006,-13.980,-13.375,0.003
14.216,0.019,0.018,-14.115,-13.458,-0.033
14.226,0.021,0.040,-14.253,-13.688,-0.012
14.236,0.022,-0.003,-14.390,-13.716,0.029
14.246,0.023,0.015,-14.526,-13.623,-0.032
14.256,0.021,0.000,-14.659,-13.464,-0.001
14.266,0.021,0.024,-14.794,-13.437,-0.031
14.276,0.025,0.018,-14.929,-13.504,0.006
14.286,0.025,-0.002,-15.058,-13.117,0.016
14.325,0.027,-0.041,-15.571,-12.637,-0.040
14.335,0.026,-0.043,-15.690,-12.176,-0.072
14.345,0.025,-0.040,-15.812,-12.165,-0.068
14.355,0.023,-0.038,-15.933,-12.108,-0.071
14.365,0.024,-0.037,-16.055,-12.192,-0.055
14.375,0.022,-0.039,-16.172,-11.858,-0.064
14.385,0.023,-0.047,-16.289,-11.742,-0.078
14.395,0.021,-0.046,-16.405,-11.629,-0.076
14.405,0.020,-0.033,-16.517,-11.382,-0.072
14.415,0.018,-0.023,-16.628,-11.203,-0.071
14.425,0.014,0.005,-16.740,-11.203,-0.058
14.435,0.014,0.013,-16.857,-11.468,-0.039
14.445,0.014,0.012,-16.974,-11.656,-0.037
14.455,0.014,0.025,-17.090,-11.629,-0.028
14.465,0.016,0.021,-17.207,-11.652,-0.006
14.475,0.016,0.011,-17.319,-11.373,-0.023
14.485,0.016,0.014,-17.432,-11.313,-0.024
14.495,0.014,0.026,-17.542,-11.103,-0.010
14.505,0.014,0.037,-17.653,-11.144,0.013
14.515,0.018,0.028,-17.765,-11.154,0.029
14.525,0.020,0.006,-17.870,-10.725,0.010
14.535,0.019,0.010,-17.972,-10.371,0.006
14.545,0.020,0.003,-18.071,-10.028,0.014
14.555,0.019,0.013,-18.167,-9.785,0.005
14.565,0.022,-0.002,-18.263,-9.659,0.010
14.575,0.026,-0.030,-18.354,-9.248,0.004
14.585,0.026,-0.047,-18.437,-8.661,-0.022
14.595,0.022,-0.026,-18.520,-8.380,-0.037
14.605,0.020,-0.014,-18.603,-8.368,-0.016
14.615,0.017,0.002,-18.687,-8.360,-0.001
14.625,0.016,0.013,-18.775,-8.669,0.007
14.635,0.022,-0.022,-18.862,-8.692,0.025
14.645,0.027,-0.069,-18.942,-8.192,-0.004
14.655,0.028,-0.088,-19.012,-7.433,-0.062
14.665,0.023,-0.082,-19.076,-6.750,-0.085
14.675,0.018,-0.054,-19.141,-6.594,-0.085
14.685,0.013,-0.011,-19.212,-6.877,-0.057
14.695,0.010,0.010,-19.289,-7.429,-0.019
14.705,0.011,0.010,-19.368,-7.795,0.000
14.715,0.015,-0.016,-19.446,-7.763,-0.010
14.725,0.018,-0.047,-19.516,-7.295,-0.031
14.735,0.018,-0.057,-19.582,-6.775,-0.056
14.745,0.016,-0.044,-19.644,-6.426,-0.061
14.755,0.014,-0.033,-19.710,-6.513,-0.053
14.765,0.012,-0.013,-19.776,-6.571,-0.042
14.775,0.009,0.005,-19.844,-6.763,-0.029
14.785,0.010,0.006,-19.916,-7.062,-0.010
14.795,0.015,-0.020,-19.987,-7.058,-0.013
14.824,0.017,-0.069,-20.170,-5.871,-0.086
14.834,0.014,-0.058,-20.228,-5.820,-0.093
14.844,0.010,-0.035,-20.290,-6.031,-0.075
14.854,0.005,-0.006,-20.356,-6.408,-0.068
14.864,0.002,0.026,-20.428,-6.942,-0.037
14.874,0.003,0.037,-20.504,-7.402,-0.008
14.884,0.007,0.018,-20.583,-7.760,-0.002
14.894,0.012,-0.019,-20.659,-7.598,-0.032
14.904,0.013,-0.036,-20.728,-7.134,-0.052
14.914,0.012,-0.040,-20.793,-6.750,-0.066
14.924,0.010,-0.022,-20.860,-6.699,-0.066
14.934,0.008,-0.011,-20.929,-6.860,-0.054
14.944,-0.049,0.175,-21.003,-7.196,-0.044
14.954,-0.070,0.886,-21.085,-7.896,0.892
14.964,-0.061,1.139,-21.156,-7.311,0.892
14.974,-0.034,1.090,-21.175,-3.716,1.383
14.984,0.023,0.880,-21.126,1.984,1.678
14.994,0.082,0.342,-20.994,9.449,1.446
15.004,0.124,0.119,-20.784,17.214,1.181
15.014,0.157,-0.160,-20.503,24.424,1.016
15.024,0.172,-0.428,-20.167,30.580,0.793
15.034,0.182,-0.629,-19.785,35.631,0.561
15.044,0.181,-0.846,-19.356,40.512,0.304
15.054,0.172,-0.947,-18.884,44.979,0.045
15.064,0.158,-1.048,-18.384,48.303,-0.191
15.074,0.129,-1.045,-17.864,50.743,-0.358
15.084,0.089,-0.912,-17.331,52.496,-0.482
15.094,0.046,-0.737,-16.815,51.821,-0.493
15.104,0.010,-0.563,-16.337,49.221,-0.348
15.114,-0.015,-0.430,-15.880,46.857,-0.302
15.124,-0.033,-0.293,-15.457,43.818,-0.246
15.134,-0.044,-0.230,-15.071,40.349,-0.196
15.144,-0.051,-0.172,-14.707,37.651,-0.133
15.154,-0.053,-0.131,-14.358,35.842,-0.109
15.164,-0.057,-0.108,-14.022,34.352,-0.114
15.174,-0.059,-0.087,-13.703,32.697,-0.121
15.184,-0.061,-0.054,-13.399,31.226,-0.107
15.194,-0.062,-0.015,-13.099,30.376,-0.056
15.204,-0.064,0.016,-12.806,29.687,-0.030
15.214,-0.063,0.045,-12.522,28.839,0.011
15.224,-0.061,0.063,-12.248,27.812,0.047
15.234,-0.057,0.062,-11.983,26.963,0.083
15.244,-0.050,0.040,-11.721,26.449,0.085
15.254,-0.044,0.011,-11.456,26.512,0.078
15.264,-0.038,-0.025,-11.183,27.042,0.069
15.274,-0.034,-0.044,-10.908,27.341,0.051
15.284,-0.032,-0.063,-10.632,27.470,0.027
15.294,-0.030,-0.080,-10.358,27.461,0.011
15.304,-0.028,-0.096,-10.084,27.435,0.002
15.345,-0.031,-0.133,-8.988,26.721,-0.077
15.355,-0.035,-0.119,-8.738,25.669,-0.094
15.365,-0.038,-0.111,-8.494,24.807,-0.108
15.375,-0.041,-0.094,-8.258,23.968,-0.116
15.385,-0.042,-0.084,-8.032,23.071,-0.118
15.395,-0.043,-0.086,-7.816,22.112,-0.133
15.405,-0.048,-0.054,-7.608,21.193,-0.142
15.415,-0.051,-0.036,-7.413,20.113,-0.122
15.425,-0.053,-0.021,-7.232,18.744,-0.119
15.435,-0.057,0.022,-7.060,17.726,-0.105
15.445,-0.057,0.051,-6.898,16.704,-0.078
15.455,-0.056,0.049,-6.745,15.738,-0.051
15.465,-0.055,0.066,-6.599,14.984,-0.034
15.475,-0.053,0.064,-6.459,14.328,-0.031
15.485,-0.049,0.067,-6.326,13.644,-0.014
15.495,-0.045,0.027,-6.196,13.212,-0.001
15.505,-0.043,0.040,-6.069,12.869,-0.026
15.515,-0.044,0.047,-5.947,12.445,-0.032
15.525,-0.043,0.055,-5.834,11.663,-0.024
15.535,-0.039,0.032,-5.728,10.947,-0.014
15.545,-0.035,0.014,-5.622,10.749,-0.045
15.555,-0.034,0.004,-5.518,10.493,-0.055
15.565,-0.037,0.016,-5.415,10.371,-0.069
15.575,-0.040,0.051,-5.323,9.597,-0.056
15.585,-0.040,0.063,-5.240,8.745,-0.032
15.595,-0.038,0.053,-5.164,7.978,-0.027
15.605,-0.036,0.049,-5.092,7.464,-0.027
15.615,-0.033,0.035,-5.022,7.118,-0.034
15.625,-0.031,0.018,-4.955,6.845,-0.048
15.635,-0.031,0.014,-4.890,6.655,-0.068
15.645,-0.033,0.031,-4.831,6.154,-0.070
15.655,-0.035,0.057,-4.779,5.504,-0.058
15.665,-0.036,0.075,-4.738,4.570,-0.039
15.675,-0.034,0.068,-4.704,3.774,-0.023
15.685,-0.031,0.060,-4.674,3.251,-0.032
15.695,-0.029,0.046,-4.646,2.976,-0.043
15.705,-0.027,0.034,-4.622,2.577,-0.060
15.715,-0.026,0.029,-4.600,2.291,-0.061
15.725,-0.024,0.016,-4.584,1.888,-0.074
15.735,-0.022,-0.001,-4.567,1.704,-0.090
15.745,-0.022,-0.008,-4.553,1.539,-0.109
15.755,-0.025,0.001,-4.543,1.178,-0.122
15.765,-0.027,0.016,-4.539,0.674,-0.125
15.775,-0.027,0.022,-4.543,-0.031,-0.106
15.785,-0.024,0.011,-4.552,-0.675,-0.110
15.795,-0.023,0.001,-4.564,-0.992,-0.130
15.805,-0.023,-0.006,-4.579,-1.302,-0.146
15.815,-0.024,-0.009,-4.595,-1.560,-0.156
15.825,-0.026,0.004,-4.619,-2.079,-0.160
15.835,-0.027,0.010,-4.649,-2.688,-0.154
15.864,-0.034,0.073,-4.779,-4.709,-0.131
15.874,-0.034,0.090,-4.839,-5.615,-0.108
15.884,-0.033,0.102,-4.909,-6.524,-0.093
15.894,-0.032,0.111,-4.984,-7.186,-0.078
15.904,-0.030,0.119,-5.065,-7.790,-0.069
15.914,-0.027,0.116,-5.150,-8.272,-0.056
15.924,-0.021,0.094,-5.239,-8.689,-0.045
15.934,-0.018,0.070,-5.324,-8.572,-0.072
15.944,-0.016,0.058,-5.412,-8.659,-0.079
15.954,-0.015,0.057,-5.500,-8.769,-0.086
15.964,-0.014,0.052,-5.590,-8.931,-0.091
15.974,-0.011,0.035,-5.682,-9.138,-0.087
15.984,-0.008,0.004,-5.775,-9.236,-0.098
15.994,-0.009,0.002,-5.864,-9.035,-0.146
16.004,-0.013,0.027,-5.960,-9.350,-0.144
16.014,-0.015,0.045,-6.061,-9.892,-0.122
16.024,-0.019,0.083,-6.169,-10.506,-0.116
16.034,-0.018,0.086,-6.289,-11.480,-0.083
16.044,-0.016,0.082,-6.412,-12.059,-0.078
16.054,-0.014,0.078,-6.538,-12.410,-0.085
16.064,-0.014,0.090,-6.665,-12.599,-0.070
16.074,-0.014,0.089,-6.795,-12.868,-0.081
16.084,-0.011,0.097,-6.931,-13.360,-0.040
16.094,-0.008,0.069,-7.065,-13.350,-0.072
16.104,-0.007,0.063,-7.200,-13.475,-0.082
16.114,-0.006,0.051,-7.335,-13.517,-0.072
16.124,-0.002,0.037,-7.472,-13.636,-0.092
16.134,0.000,0.021,-7.610,-13.725,-0.101
16.144,-0.001,0.007,-7.747,-13.723,-0.140
16.154,-0.003,0.045,-7.891,-14.141,-0.110
16.164,-0.003,0.034,-8.040,-14.658,-0.110
16.174,-0.002,0.040,-8.193,-15.083,-0.097
16.184,-0.004,0.042,-8.348,-15.356,-0.137
16.194,-0.005,0.067,-8.510,-15.938,-0.098
16.204,-0.003,0.066,-8.677,-16.455,-0.088
16.214,-0.002,0.057,-8.847,-16.791,-0.089
16.224,-0.002,0.062,-9.020,-17.152,-0.100
16.234,0.000,0.053,-9.197,-17.534,-0.102
16.244,-0.001,0.063,-9.380,-17.984,-0.093
16.254,-0.002,0.075,-9.568,-18.542,-0.091
16.264,-0.000,0.081,-9.759,-18.940,-0.080
16.274,-0.002,0.088,-9.954,-19.275,-0.081
16.284,-0.001,0.101,-10.150,-19.541,-0.059
16.294,-0.000,0.103,-10.347,-19.655,-0.053
16.304,0.001,0.110,-10.545,-19.697,-0.047
16.314,0.002,0.107,-10.744,-19.878,-0.030
16.324,0.004,0.105,-10.945,-20.000,-0.022
16.334,0.005,0.108,-11.146,-20.062,-0.018
16.344,0.006,0.115,-11.348,-20.135,-0.021
16.385,0.016,0.076,-12.131,-19.250,0.022
16.395,0.019,0.054,-12.320,-19.046,0.009
16.405,0.021,0.053,-12.507,-18.768,-0.000
16.415,0.022,0.029,-12.691,-18.556,-0.018
16.425,0.023,0.022,-12.874,-18.355,-0.038
16.435,0.022,0.020,-13.050,-17.902,-0.046
16.445,0.023,0.011,-13.226,-17.698,-0.048
16.455,0.023,0.006,-13.397,-17.304,-0.061
16.465,0.019,0.023,-13.569,-17.219,-0.054
16.475,0.019,0.022,-13.742,-17.270,-0.051
16.485,0.020,0.019,-13.919,-17.543,-0.046
16.495,0.018,0.027,-14.097,-17.672,-0.055
16.505,0.019,0.025,-14.276,-17.862,-0.051
16.515,0.022,0.004,-14.457,-18.002,-0.044
16.525,0.022,-0.006,-14.635,-17.887,-0.070
16.535,0.021,-0.008,-14.812,-17.771,-0.087
16.545,0.021,-0.012,-14.988,-17.629,-0.084
16.555,0.020,-0.007,-15.161,-17.464,-0.095
16.565,0.017,0.017,-15.341,-17.812,-0.095
16.575,0.018,0.017,-15.527,-18.314,-0.071
16.585,0.017,0.019,-15.716,-18.681,-0.086
16.595,0.016,0.027,-15.905,-18.859,-0.077
16.605,0.015,0.039,-16.098,-19.119,-0.069
16.615,0.014,0.054,-16.290,-19.179,-0.065
16.625,0.012,0.066,-16.482,-19.229,-0.045
16.635,0.011,0.085,-16.674,-19.218,-0.027
16.645,0.013,0.093,-16.867,-19.240,0.007
16.655,0.015,0.087,-17.061,-19.353,0.008
16.665,0.019,0.074,-17.253,-19.258,0.020
16.675,0.021,0.065,-17.442,-19.001,0.006
16.685,0.022,0.067,-17.627,-18.678,0.016
16.695,0.024,0.047,-17.807,-18.218,0.011
16.705,0.025,0.052,-17.981,-17.680,0.012
16.715,0.024,0.047,-18.152,-17.321,0.014
16.725,0.028,0.033,-18.323,-17.176,0.030
16.735,0.030,0.027,-18.488,-16.669,0.024
16.745,0.030,0.012,-18.650,-16.370,0.010
16.755,0.031,0.003,-18.806,-15.889,0.005
16.765,0.033,-0.012,-18.963,-15.751,0.007
16.775,0.033,-0.032,-19.113,-15.249,-0.044
16.785,0.030,-0.023,-19.259,-14.796,-0.010
16.795,0.030,-0.007,-19.403,-14.570,-0.037
16.805,0.030,-0.028,-19.546,-14.395,-0.029
16.815,0.029,-0.022,-19.686,-14.104,-0.036
16.825,0.027,-0.005,-19.822,-13.752,-0.016
16.835,0.026,0.010,-19.959,-13.763,-0.037
16.845,0.026,-0.004,-20.099,-13.918,-0.009
16.855,0.025,-0.004,-20.238,-13.870,-0.028
16.865,0.024,0.017,-20.377,-13.904,0.017
16.962,0.025,-0.022,-21.719,-13.288,-0.040
16.972,0.025,-0.029,-21.851,-13.223,-0.054
16.982,0.024,-0.026,-21.978,-12.921,-0.067
16.992,0.022,-0.023,-22.107,-12.872,-0.062
17.002,0.018,0.006,-22.238,-13.008,-0.049
17.012,0.017,0.028,-22.372,-13.310,-0.018
17.022,0.016,0.033,-22.508,-13.487,-0.020
17.032,0.019,0.019,-22.642,-13.394,0.017
17.042,0.022,0.020,-22.773,-13.205,-0.017
17.052,0.024,-0.014,-22.896,-12.637,-0.024
17.062,0.024,-0.008,-23.015,-12.138,-0.009
17.072,0.025,-0.022,-23.132,-11.844,-0.027
17.082,0.026,-0.028,-23.243,-11.362,-0.048
17.092,0.024,-0.037,-23.353,-11.125,-0.045
17.102,0.024,-0.032,-23.462,-10.969,-0.045
17.112,0.022,-0.037,-23.570,-10.841,-0.038
17.122,0.020,-0.020,-23.677,-10.746,-0.038
17.132,0.018,-0.011,-23.783,-10.665,-0.048
17.142,0.016,0.010,-23.891,-10.713,-0.027
17.152,0.016,0.012,-23.998,-10.755,-0.012
17.162,0.018,0.002,-24.104,-10.642,-0.017
17.172,0.018,0.000,-24.206,-10.322,-0.015
17.182,0.018,0.002,-24.306,-10.088,-0.012
17.192,0.017,0.006,-24.405,-9.984,-0.010
17.202,0.015,0.031,-24.502,-9.821,0.011
17.212,0.020,0.001,-24.600,-9.819,0.031
17.222,0.025,-0.028,-24.692,-9.358,0.004
17.232,0.025,-0.051,-24.776,-8.718,-0.040
17.242,0.024,-0.048,-24.855,-8.224,-0.036
17.252,0.022,-0.042,-24.934,-8.007,-0.031
17.262,0.018,-0.018,-25.015,-8.064,-0.027
17.272,0.016,0.005,-25.101,-8.364,-0.011
17.282,0.018,-0.005,-25.185,-8.415,0.012
17.292,0.021,-0.025,-25.267,-8.251,-0.012
17.302,0.020,-0.027,-25.344,-7.889,-0.027
17.312,0.019,-0.025,-25.418,-7.615,-0.027
17.322,0.018,-0.020,-25.493,-7.524,-0.023
17.332,0.015,-0.003,-25.570,-7.595,-0.019
17.342,0.013,0.013,-25.646,-7.619,0.010
17.352,0.017,-0.004,-25.725,-7.805,0.014
17.362,0.020,-0.035,-25.796,-7.357,-0.012
17.372,0.019,-0.037,-25.863,-6.875,-0.031
17.382,0.017,-0.024,-25.930,-6.766,-0.029
17.392,0.016,-0.017,-25.997,-6.755,-0.009
17.402,0.016,-0.014,-26.064,-6.726,-0.010
17.412,0.016,-0.010,-26.132,-6.742,-0.005
17.422,0.016,-0.018,-26.197,-6.619,-0.006
17.432,0.018,-0.031,-26.262,-6.501,-0.013
17.473,0.020,-0.086,-26.485,-5.302,-0.088
17.483,0.017,-0.084,-26.536,-5.171,-0.101
17.493,0.011,-0.039,-26.590,-5.302,-0.090
17.503,0.005,-0.001,-26.651,-5.834,-0.069
17.513,0.000,0.044,-26.721,-6.622,-0.028
17.523,0.002,0.050,-26.798,-7.321,0.012
17.533,0.009,0.014,-26.873,-7.430,0.010
17.543,0.016,-0.046,-26.941,-6.980,-0.030
17.553,0.018,-0.075,-26.998,-6.182,-0.080
17.563,0.016,-0.070,-27.053,-5.692,-0.102
17.573,0.012,-0.058,-27.109,-5.681,-0.085
17.583,0.008,-0.028,-27.168,-5.829,-0.079
17.593,0.004,0.010,-27.234,-6.317,-0.054
17.603,-0.000,0.037,-27.307,-6.985,-0.032
17.613,-0.001,0.066,-27.385,-7.548,0.014
17.623,0.004,0.049,-27.467,-7.939,0.022
17.633,0.008,0.020,-27.544,-7.812,0.012
17.643,0.010,0.009,-27.617,-7.431,-0.010
17.653,0.010,0.011,-27.688,-7.207,-0.013
17.663,0.011,0.006,-27.761,-7.289,-0.007
17.673,0.011,0.002,-27.831,-7.109,-0.015
17.683,0.011,0.003,-27.902,-7.097,-0.020
17.693,0.015,-0.023,-27.973,-7.124,-0.010
17.703,0.020,-0.064,-28.039,-6.746,-0.052
17.713,0.021,-0.093,-28.098,-6.161,-0.095
17.723,0.018,-0.087,-28.150,-5.580,-0.114
17.733,0.011,-0.058,-28.209,-5.745,-0.114
17.743,0.009,-0.036,-28.272,-6.133,-0.081
17.753,0.008,-0.034,-28.340,-6.544,-0.081
17.763,0.006,-0.024,-28.407,-6.708,-0.087
17.773,0.003,-0.004,-28.479,-6.990,-0.076
17.783,0.004,0.001,-28.554,-7.368,-0.062
17.793,0.003,0.003,-28.628,-7.391,-0.058
17.803,0.001,0.020,-28.706,-7.625,-0.051
17.813,0.001,0.031,-28.786,-7.889,-0.030
17.823,0.005,0.016,-28.866,-8.000,-0.022
17.833,0.009,-0.006,-28.945,-7.883,-0.048
17.843,0.008,-0.009,-29.016,-7.404,-0.061
17.853,0.007,-0.006,-29.089,-7.326,-0.054
17.863,0.007,-0.000,-29.162,-7.276,-0.046
17.873,0.006,0.010,-29.235,-7.279,-0.043
17.883,0.005,0.021,-29.310,-7.466,-0.025
17.893,0.005,0.024,-29.388,-7.703,-0.010
17.903,0.007,0.009,-29.465,-7.684,-0.021
17.913,0.009,0.008,-29.540,-7.573,-0.015
17.923,0.010,-0.004,-29.615,-7.534,-0.032
17.933,0.065,-0.560,-29.684,-7.084,-0.046
17.943,0.087,-0.797,-29.749,-6.683,-0.559
17.953,0.069,-0.756,-29.818,-6.859,-0.819
17.963,0.023,-0.552,-29.920,-9.082,-1.017
17.992,-0.063,0.066,-30.505,-21.557,-0.562
18.002,-0.077,0.231,-30.772,-25.005,-0.445
18.012,-0.083,0.352,-31.070,-28.175,-0.214
18.022,-0.080,0.416,-31.393,-30.918,-0.076
18.032,-0.069,0.466,-31.730,-32.763,0.021
18.042,-0.054,0.436,-32.066,-33.338,0.043
18.052,-0.036,0.370,-32.392,-32.872,0.042
18.062,-0.020,0.305,-32.706,-31.845,0.034
18.072,-0.008,0.262,-33.013,-31.119,0.037
18.082,0.004,0.198,-33.319,-30.775,0.025
18.092,0.013,0.155,-33.618,-30.149,0.009
18.102,0.019,0.116,-33.907,-29.378,-0.019
18.112,0.023,0.090,-34.193,-28.839,-0.039
18.122,0.025,0.064,-34.480,-28.762,-0.051
18.132,0.026,0.062,-34.768,-28.762,-0.060
18.142,0.026,0.061,-35.056,-28.788,-0.061
18.152,0.026,0.061,-35.338,-28.358,-0.079
18.162,0.024,0.075,-35.615,-27.935,-0.055
18.172,0.023,0.082,-35.891,-27.699,-0.044
18.182,0.021,0.108,-36.169,-27.789,-0.026
18.192,0.020,0.121,-36.448,-27.850,-0.006
18.202,0.021,0.123,-36.724,-27.695,0.015
18.212,0.023,0.131,-36.995,-27.334,0.018
18.222,0.025,0.126,-37.262,-26.854,0.034
18.232,0.029,0.114,-37.523,-26.413,0.050
18.242,0.034,0.084,-37.783,-26.120,0.040
18.252,0.034,0.077,-38.035,-25.478,0.025
18.262,0.035,0.077,-38.282,-24.981,0.028
18.272,0.037,0.057,-38.523,-24.378,0.040
18.282,0.039,0.046,-38.755,-23.622,0.025
18.292,0.044,0.015,-38.982,-22.981,0.022
18.302,0.045,-0.014,-39.206,-22.594,-0.017
18.312,0.045,-0.030,-39.425,-22.127,-0.049
18.322,0.043,-0.038,-39.640,-21.721,-0.060
18.332,0.039,-0.024,-39.856,-21.606,-0.065
18.342,0.038,-0.018,-40.071,-21.596,-0.059
18.352,0.036,-0.014,-40.286,-21.490,-0.049
18.362,0.032,0.003,-40.502,-21.581,-0.038
18.372,0.032,0.026,-40.725,-22.049,-0.040
18.382,0.031,0.026,-40.947,-22.130,-0.023
18.392,0.030,0.031,-41.169,-22.226,-0.017
18.402,0.030,0.039,-41.390,-22.139,-0.031
18.412,0.031,0.048,-41.607,-21.796,-0.004
18.422,0.030,0.042,-41.817,-21.304,0.002
18.432,0.029,0.052,-42.026,-21.007,0.011
18.442,0.029,0.067,-42.232,-20.783,0.014
18.452,0.030,0.064,-42.438,-20.631,0.038
18.462,0.032,0.060,-42.641,-20.403,0.057
18.503,0.040,0.004,-43.376,-17.524,0.029
18.513,0.042,-0.012,-43.540,-16.772,0.029
18.523,0.042,-0.023,-43.700,-16.275,0.012
18.533,0.040,-0.024,-43.854,-15.655,0.003
18.543,0.040,-0.013,-44.008,-15.491,0.026
18.553,0.040,-0.039,-44.156,-15.067,0.009
18.563,0.040,-0.017,-44.299,-14.557,0.007
18.573,0.039,-0.034,-44.440,-14.205,-0.010
18.583,0.041,-0.038,-44.575,-13.734,0.028
18.593,0.039,-0.070,-44.703,-13.144,0.001
18.603,0.037,-0.044,-44.826,-12.565,-0.013
18.613,0.034,-0.045,-44.947,-12.263,-0.030
18.623,0.032,-0.025,-45.068,-12.119,-0.007
18.633,0.032,-0.036,-45.188,-12.095,-0.005
18.643,0.032,-0.034,-45.305,-11.777,-0.023
18.653,0.031,-0.037,-45.418,-11.495,-0.019
18.663,0.028,-0.025,-45.533,-11.501,-0.022
18.673,0.027,-0.009,-45.647,-11.447,-0.002
18.683,0.029,-0.029,-45.761,-11.365,0.003
18.693,0.032,-0.047,-45.868,-10.946,-0.023
18.703,0.029,-0.040,-45.971,-10.549,-0.030
18.713,0.026,-0.020,-46.073,-10.268,-0.025
18.723,0.022,0.004,-46.179,-10.501,-0.010
18.733,0.025,0.003,-46.284,-10.536,0.014
18.743,0.029,-0.030,-46.385,-10.208,0.008
18.753,0.028,-0.035,-46.480,-9.720,-0.020
18.763,0.025,-0.027,-46.571,-9.349,-0.024
18.773,0.023,-0.006,-46.664,-9.326,0.001
18.783,0.020,0.016,-46.759,-9.427,0.031
18.793,0.023,0.007,-46.858,-9.714,0.042
18.803,0.025,-0.003,-46.950,-9.375,0.035
18.813,0.025,-0.010,-47.040,-9.106,0.022
18.823,0.026,-0.012,-47.126,-8.788,0.024
18.833,0.028,-0.028,-47.209,-8.503,0.017
18.843,0.027,-0.027,-47.286,-7.946,0.006
18.853,0.028,-0.037,-47.363,-7.789,0.013
18.863,0.030,-0.056,-47.435,-7.378,-0.000
18.873,0.029,-0.062,-47.499,-6.754,-0.021
18.883,0.024,-0.033,-47.562,-6.440,-0.012
18.893,0.021,-0.012,-47.629,-6.599,0.015
18.903,0.022,-0.017,-47.696,-6.700,0.022
18.913,0.025,-0.037,-47.758,-6.350,0.014
18.923,0.027,-0.058,-47.814,-5.824,-0.004
18.933,0.027,-0.068,-47.863,-5.188,-0.021
18.943,0.026,-0.074,-47.908,-4.745,-0.034
18.953,0.025,-0.077,-47.949,-4.318,-0.033
18.963,0.025,-0.086,-47.987,-3.996,-0.045
18.973,0.022,-0.074,-48.023,-3.735,-0.050
18.983,0.016,-0.048,-48.060,-3.672,-0.048
19.012,0.008,0.035,-48.193,-4.642,0.042
